/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_068.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_068.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_068.jpg, ","0, ","0, ","0, ",8.232964E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_171.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_171.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_171.jpg, ","0, ","0, ","0, ",8.258077E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_289.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_289.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_289.jpg, ","0, ","0, ","0, ",8.163875E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_390.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_390.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_390.jpg, ","0, ","0, ","0, ",8.53212E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_505.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_505.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_505.jpg, ","0, ","0, ","0, ",8.265618E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_620.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_620.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_620.jpg, ","0, ","0, ","0, ",8.226974E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_723.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_723.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_723.jpg, ","0, ","0, ","0, ",8.265066E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_840.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_840.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_840.jpg, ","0, ","0, ","0, ",8.177035E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_04_941.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_04_941.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_04_941.jpg, ","0, ","0, ","0, ",8.391574E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_05_060.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_05_060.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_05_060.jpg, ","0, ","0, ","0, ",8.217073E-05
/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/center_2022_01_30_21_26_05_160.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/left_2022_01_30_21_26_05_160.jpg, ",/Users/harshdarji/Documents/Projects/Self ,Driving ,"Car/Track/IMG/right_2022_01_30_21_26_05_160.jpg, ","0, ","0, ","0, ",8.208234E-05
